fotograma,tipo_objeto,confianza,identificador_tracking,x1,y1,x2,y2,matrícula_en_su_caso,confianza_matricula,mx1,my1,mx2,my2,texto_matricula
0,car,0.826,1,1155,1309,1646,1791,0,0.000,1360,1481,1600,1554,
0,car,0.819,2,761,1373,1435,1975,0,0.000,1072,1860,1325,1923,
0,car,0.768,3,506,1962,1172,2155,0,0.000,1120,2081,1140,2104,
0,car,0.750,4,2203,1167,2776,1740,0,0.000,2621,1475,2753,1539,
0,car,0.741,5,2039,877,2432,1219,0,0.000,2078,1115,2164,1156,
0,car,0.739,6,1252,1014,1743,1433,0,0.000,1606,1224,1716,1274,
0,car,0.732,7,0,689,359,981,0,0.000,61,943,293,973,
0,car,0.604,8,1295,835,1660,1054,0,0.000,1451,962,1621,973,
0,truck,0.526,9,2248,1697,3313,2153,0,0.000,2291,1901,2345,1921,
0,truck,0.477,10,2125,448,2416,699,0,0.000,2140,550,2403,669,
0,car,0.452,11,1483,764,1790,1058,0,0.000,1536,935,1700,1014,
0,car,0.417,12,593,578,817,781,0,0.000,604,755,771,777,
0,truck,0.395,13,280,539,603,873,0,0.000,337,686,370,800,
0,car,0.388,14,1407,663,1694,834,0,0.000,0,0,0,0,
0,bus,0.354,15,281,540,603,871,0,0.000,337,686,370,800,
0,car,0.312,16,2126,689,2426,876,0,0.000,2164,777,2410,794,
0,truck,0.286,17,56,498,343,692,0,0.000,295,614,322,680,
0,person,0.259,18,2606,2011,2758,2151,0,0.000,0,0,0,0,
1,car,0.839,1,1155,1311,1647,1793,0,0.000,1358,1484,1599,1557,
1,car,0.803,2,755,1375,1437,1986,0,0.000,1065,1862,1306,1921,
1,car,0.770,3,515,1969,1163,2156,0,0.000,0,0,0,0,
1,car,0.764,4,2198,1166,2776,1745,0,0.000,2622,1461,2760,1542,
1,car,0.752,5,2040,878,2436,1223,0,0.000,2076,1115,2164,1157,
1,car,0.742,6,1253,1014,1739,1429,0,0.000,1599,1225,1716,1279,
1,car,0.718,7,3,691,359,980,0,0.000,65,942,297,971,
1,car,0.568,8,1296,836,1656,1053,0,0.000,1432,964,1621,974,
1,truck,0.485,9,2263,1702,3311,2151,0,0.000,3194,1865,3260,1911,
1,truck,0.522,10,2125,449,2413,696,0,0.000,2141,550,2402,670,
1,car,0.425,11,1483,767,1790,1061,0,0.000,1705,915,1765,972,
1,car,0.446,12,594,579,816,780,0,0.000,614,684,751,695,
1,truck,0.349,13,280,539,602,872,0,0.000,336,688,363,795,
1,car,0.357,14,1407,665,1692,835,0,0.000,0,0,0,0,
1,bus,0.392,15,280,540,602,870,0,0.000,336,688,363,795,
1,car,0.379,16,2127,688,2429,877,0,0.000,2164,777,2411,790,
1,truck,0.320,17,54,497,334,687,0,0.000,0,0,0,0,
1,person,0.258,18,2608,2012,2760,2152,0,0.000,0,0,0,0,
2,car,0.824,1,1151,1317,1644,1801,1,0.300,1355,1491,1597,1565,
2,car,0.832,2,749,1381,1435,1996,1,0.349,1061,1870,1316,1933,
2,car,0.707,3,522,1980,1138,2158,0,0.000,0,0,0,0,
2,car,0.773,4,2203,1175,2777,1749,0,0.000,2563,1710,2792,1775,
2,car,0.692,5,2041,879,2439,1226,0,0.000,2073,1073,2249,1107,
2,car,0.747,6,1254,1017,1736,1427,0,0.000,1488,1242,1589,1289,
2,car,0.644,7,8,689,363,976,0,0.000,0,0,0,0,
2,car,0.460,8,1290,837,1660,1059,0,0.000,0,0,0,0,
2,truck,0.511,9,2293,1713,3317,2151,0,0.000,3200,1878,3267,1932,
2,truck,0.465,10,2125,448,2416,699,0,0.000,2141,550,2403,671,
2,car,0.398,11,1476,764,1796,1070,0,0.000,1712,914,1767,975,
2,car,0.419,12,596,577,818,779,0,0.000,0,0,0,0,
2,bus,0.339,13,286,541,602,868,0,0.000,347,686,383,794,
2,car,0.368,14,1402,663,1692,836,0,0.000,0,0,0,0,
2,truck,0.417,15,284,541,603,868,0,0.000,347,686,383,794,
2,car,0.409,16,2107,685,2417,878,0,0.000,2158,780,2392,802,
3,car,0.824,1,1145,1325,1635,1806,1,0.300,1351,1498,1595,1571,
3,car,0.828,2,742,1387,1434,2007,1,0.456,1055,1879,1304,1940,
3,car,0.676,3,538,1994,1103,2156,0,0.000,544,2056,571,2104,
3,car,0.760,4,2204,1178,2781,1755,1,0.457,2540,1717,2793,1782,
3,car,0.647,5,2038,881,2439,1230,0,0.000,2076,1120,2165,1166,
3,car,0.696,6,1251,1019,1733,1429,0,0.000,1538,1330,1635,1398,
3,car,0.668,7,13,687,366,972,0,0.000,78,937,310,966,
3,car,0.408,8,1297,840,1659,1058,0,0.000,1349,962,1622,977,
3,truck,0.594,9,2301,1716,3317,2151,0,0.000,3224,1895,3276,1944,
3,truck,0.471,10,2118,448,2412,700,0,0.000,2142,552,2403,671,
3,car,0.421,11,1477,770,1794,1074,0,0.000,1525,952,1656,1008,
3,car,0.452,12,600,578,819,776,0,0.000,620,684,754,694,
3,bus,0.417,13,294,541,607,865,0,0.000,348,682,370,791,
3,car,0.360,14,1401,663,1696,840,0,0.000,0,0,0,0,
3,truck,0.338,15,291,537,610,864,0,0.000,348,682,370,791,
3,car,0.396,16,2108,683,2428,882,0,0.000,2149,815,2203,862,
4,car,0.810,1,1145,1327,1636,1809,1,0.300,1349,1502,1593,1576,
4,car,0.792,2,735,1391,1433,2018,1,0.439,1055,1881,1304,1940,
4,car,0.695,3,546,2003,1085,2156,0,0.000,0,0,0,0,
4,car,0.736,4,2204,1184,2784,1764,1,0.692,2535,1717,2791,1783,
4,car,0.648,5,2037,883,2438,1232,0,0.000,2077,1120,2166,1163,
4,car,0.694,6,1249,1023,1731,1433,0,0.000,1254,1223,1366,1273,
4,car,0.598,7,17,687,369,971,0,0.000,82,935,313,964,
4,car,0.430,8,1297,842,1660,1060,0,0.000,1515,969,1621,979,
4,truck,0.555,9,2305,1718,3314,2150,0,0.000,3220,1896,3280,1950,
4,truck,0.484,10,2120,448,2411,697,0,0.000,2141,552,2404,671,
4,car,0.400,11,1483,774,1797,1076,0,0.000,1650,941,1724,1023,
4,car,0.403,12,602,578,819,774,0,0.000,621,683,755,694,
4,bus,0.419,13,299,543,611,865,0,0.000,347,684,390,790,
4,car,0.330,14,1400,663,1698,842,0,0.000,0,0,0,0,
4,truck,0.343,15,296,536,615,863,0,0.000,347,684,390,790,
4,car,0.340,16,2102,682,2421,880,0,0.000,2122,808,2204,864,
4,car,0.352,21,2297,1722,3325,2154,0,0.000,2366,1876,2408,1968,
5,car,0.851,1,1143,1331,1629,1807,1,0.300,1346,1509,1590,1583,
5,car,0.812,2,727,1395,1433,2030,1,0.492,1049,1888,1299,1947,
5,car,0.698,3,557,2014,1062,2156,0,0.000,0,0,0,0,
5,car,0.773,4,2205,1189,2783,1768,1,0.603,2535,1725,2797,1789,
5,car,0.683,5,2036,883,2437,1233,0,0.000,2077,1123,2167,1166,
5,car,0.711,6,1244,1026,1732,1440,0,0.000,1602,1238,1711,1289,
5,car,0.569,7,22,685,377,971,0,0.000,89,934,320,962,
5,car,0.370,8,1297,844,1662,1064,0,0.000,1348,963,1383,975,
5,car,0.312,9,2326,1733,3304,2150,0,0.000,3229,1909,3288,1963,
5,truck,0.536,10,2124,448,2414,696,0,0.000,2141,553,2404,673,
5,car,0.404,11,1484,779,1796,1078,0,0.000,1702,920,1764,977,
5,car,0.304,12,604,578,820,773,0,0.000,625,682,759,693,
5,bus,0.339,13,305,546,614,864,0,0.000,351,682,394,792,
5,car,0.334,14,1400,664,1699,843,0,0.000,0,0,0,0,
5,truck,0.405,15,301,537,619,863,0,0.000,351,682,394,792,
5,car,0.340,16,2090,681,2413,880,0,0.000,2098,767,2154,846,
5,truck,0.546,21,2318,1731,3311,2148,0,0.000,3229,1909,3288,1963,
6,car,0.828,1,1141,1338,1629,1815,1,0.300,1343,1516,1588,1590,
6,car,0.771,2,725,1402,1429,2037,1,0.805,1042,1899,1281,1958,
6,car,0.657,3,572,2032,1036,2159,0,0.000,0,0,0,0,
6,car,0.771,4,2207,1194,2784,1772,1,0.699,2541,1734,2797,1800,
6,car,0.633,5,2036,886,2438,1236,0,0.000,2077,1126,2167,1169,
6,car,0.681,6,1242,1034,1729,1444,0,0.000,1548,1404,1913,1478,
6,car,0.577,7,28,683,384,969,0,0.000,95,932,326,960,
6,car,0.432,8,1295,847,1664,1068,0,0.000,1348,965,1384,977,
6,truck,0.545,10,2126,448,2416,696,0,0.000,2143,553,2405,674,
6,car,0.359,11,1486,782,1797,1081,0,0.000,1577,922,1764,1034,
6,car,0.324,12,606,577,826,776,0,0.000,629,681,762,692,
6,car,0.282,14,1397,664,1695,843,0,0.000,0,0,0,0,
6,truck,0.428,15,307,538,622,860,0,0.000,360,680,391,790,
6,car,0.354,16,2076,681,2404,882,0,0.000,2098,769,2154,847,
7,car,0.785,1,1141,1342,1623,1812,1,0.300,1342,1519,1587,1593,
7,car,0.793,2,725,1407,1428,2043,1,0.567,1039,1905,1284,1964,
7,car,0.600,3,571,2040,1017,2159,0,0.000,0,0,0,0,
7,car,0.746,4,2206,1194,2787,1776,1,0.599,2534,1737,2795,1802,
7,car,0.609,5,2036,888,2438,1239,1,0.300,2073,1082,2298,1119,
7,car,0.696,6,1241,1037,1729,1447,0,0.000,1545,1406,1877,1481,
7,car,0.615,7,31,680,389,968,0,0.000,100,930,329,959,
7,car,0.434,8,1299,850,1663,1068,0,0.000,1348,967,1383,978,
7,truck,0.547,10,2127,449,2416,695,0,0.000,2143,554,2406,675,
7,car,0.391,11,1481,780,1796,1083,0,0.000,1721,985,1766,1040,
7,car,0.315,12,607,577,828,778,0,0.000,622,750,786,774,
7,car,0.273,14,1395,665,1694,845,0,0.000,0,0,0,0,
7,truck,0.447,15,309,536,623,858,0,0.000,0,0,0,0,
7,car,0.326,16,2070,682,2407,887,0,0.000,2098,770,2154,848,
7,truck,0.546,9,2351,1746,3297,2147,0,0.000,2391,1890,2418,2013,
8,car,0.769,1,1144,1346,1612,1799,1,0.300,1338,1527,1585,1601,
8,car,0.749,2,724,1417,1422,2048,1,0.657,1036,1915,1285,1979,
8,car,0.574,3,577,2049,988,2156,0,0.000,0,0,0,0,
8,car,0.714,4,2203,1200,2789,1787,1,0.727,2544,1741,2795,1805,
8,car,0.584,5,2037,891,2438,1241,1,0.300,0,0,0,0,
8,car,0.719,6,1237,1039,1729,1450,0,0.000,1246,1235,1350,1285,
8,car,0.639,7,37,679,395,967,0,0.000,105,928,336,956,
8,car,0.446,8,1299,851,1660,1068,0,0.000,1530,959,1652,1015,
8,truck,0.457,10,2118,449,2421,708,0,0.000,2143,555,2407,675,
8,car,0.411,11,1480,779,1793,1082,0,0.000,1491,901,1600,934,
8,car,0.335,12,611,577,832,779,0,0.000,625,749,788,773,
8,car,0.306,14,1390,664,1694,848,0,0.000,0,0,0,0,
8,truck,0.385,15,311,532,627,856,0,0.000,0,0,0,0,
8,car,0.293,16,2070,683,2413,891,0,0.000,2098,771,2155,849,
8,car,0.335,28,2246,820,2567,1073,0,0.000,2399,961,2438,1039,
8,truck,0.504,9,2360,1756,3294,2147,0,0.000,2393,1902,2421,2029,
9,car,0.792,1,1130,1355,1620,1828,1,0.300,1335,1534,1582,1609,
9,car,0.820,2,719,1425,1414,2055,1,0.631,1034,1928,1278,1989,
9,car,0.420,3,590,2065,967,2159,0,0.000,0,0,0,0,
9,car,0.762,4,2203,1204,2792,1795,1,0.458,2571,1747,2793,1809,
9,car,0.640,5,2037,892,2438,1244,1,0.300,0,0,0,0,
9,car,0.750,6,1236,1041,1730,1452,0,0.000,1539,1417,1889,1492,
9,car,0.631,7,45,678,402,964,0,0.000,110,925,341,951,
9,car,0.401,8,1300,854,1657,1067,0,0.000,0,0,0,0,
9,truck,0.426,10,2119,450,2420,706,0,0.000,2143,556,2408,676,
9,car,0.406,11,1484,781,1795,1082,0,0.000,1698,925,1762,984,
9,car,0.429,12,616,579,832,776,0,0.000,628,749,790,772,
9,car,0.309,14,1391,665,1694,849,0,0.000,0,0,0,0,
9,truck,0.405,15,316,530,632,854,0,0.000,0,0,0,0,
9,car,0.341,16,2105,686,2442,892,0,0.000,2153,817,2208,872,
9,car,0.276,28,2245,820,2569,1076,0,0.000,2439,967,2479,1022,
9,truck,0.507,9,2374,1765,3296,2146,0,0.000,2380,1901,2425,2038,
10,car,0.810,1,1125,1362,1619,1838,1,0.300,1333,1537,1580,1621,
10,car,0.807,2,714,1429,1412,2062,1,0.347,1030,1931,1278,1993,
10,car,0.737,4,2204,1206,2794,1798,1,0.821,2590,1751,2796,1813,
10,car,0.554,5,2037,893,2439,1246,1,0.300,2080,1136,2167,1176,
10,car,0.738,6,1233,1042,1732,1456,0,0.000,1535,1413,1903,1491,
10,car,0.620,7,50,678,406,962,0,0.000,115,924,344,952,
10,car,0.420,8,1303,855,1658,1067,0,0.000,0,0,0,0,
10,truck,0.437,10,2114,451,2423,714,0,0.000,2144,556,2409,677,
10,car,0.351,11,1482,781,1799,1089,0,0.000,1491,904,1595,938,
10,car,0.354,12,619,579,833,775,0,0.000,629,750,792,771,
10,car,0.276,14,1391,665,1693,849,0,0.000,0,0,0,0,
10,truck,0.378,15,318,529,634,853,0,0.000,0,0,0,0,
10,car,0.318,16,2122,688,2452,892,0,0.000,2154,827,2208,871,
10,truck,0.575,9,2369,1767,3302,2149,0,0.000,3223,1935,3256,1969,
10,car,0.321,34,2319,1774,3349,2151,0,0.000,2370,2039,2415,2149,
11,car,0.827,1,1121,1369,1618,1846,1,0.300,1330,1544,1577,1629,
11,car,0.809,2,706,1436,1409,2075,1,0.320,1022,1939,1273,1999,
11,car,0.764,4,2205,1212,2794,1804,1,0.502,2575,1758,2794,1820,
11,car,0.593,5,2038,895,2441,1250,1,0.300,0,0,0,0,
11,car,0.757,6,1228,1044,1731,1459,0,0.000,1533,1418,1858,1505,
11,car,0.641,7,56,675,415,962,0,0.000,123,921,350,950,
11,car,0.471,8,1306,856,1660,1068,0,0.000,0,0,0,0,
11,truck,0.416,10,2116,451,2423,712,0,0.000,2145,557,2411,678,
11,car,0.393,11,1477,779,1802,1098,0,0.000,1493,906,1595,939,
11,car,0.347,12,622,578,835,773,0,0.000,629,657,649,670,
